,Name,Street,City,State,ZIP Code
31,Academy of Hair Design-Jackson,1815 Terry Rd,Jackson,MS,39204
32,Academy of Hair Design-Jasper,348 Spring Hill St,Jasper,TX,75951
33,Academy of Hair Design-Las Vegas,"5191 W. Charleston, #150",Las Vegas,NV,89146
34,Academy of Hair Design-Lufkin,512 S Chestnut,Lufkin,TX,75904
35,Academy of Hair Design-Oklahoma City,11920 N May Ave,Oklahoma City,OK,73120
36,Academy of Hair Design-Pearl,3167 Hwy 80 E,Pearl,MS,39208
37,Academy of Hair Design-Salem,305 Court NE,Salem,OR,97301
38,Academy of Hair Design-Springfield,1834 S Glenstone,Springfield,MO,65804
39,Academy of Hair Technology,3715 E North St Ste F,Greenville,SC,29615-2363
40,Academy of Healing Arts Massage & Facial Skin Care,3141 S Military Trail,Lake Worth,FL,33463-2113
41,Academy of Interactive Entertainment,305 Harrison St Ste 405,Seattle,WA,98109-4623
42,Academy of Massage and Bodywork,1218 Pulaski Hwy Ste 324,Bear,DE,19701
43,Academy of Natural Therapy Inc,625 8th Ave,Greeley,CO,80631-9441
44,Academy of Salon and Spa,311 S 16th St,Fort Smith,AR,72901
45,Academy of Salon Professionals,2414 S. Limit Ave,Sedalia,MO,65301
46,Academy of Vocal Arts,1920 Spruce St,Philadelphia,PA,19103-6685
47,Acaydia School of Aesthetics,"86 North University Avenue, Suite 130",Provo,UT,84601-0000
48,Access Careers,25 Elm Place,Brooklyn,NY,11201-5826
49,Access Careers,"474 Fulton Avenue, Suite 201",Hempstead,NY,11550-0000
50,Ace Computer Training Center,"109-19 72nd Road, STE # 4F",Forest Hills,NY,11375
51,Ace Cosmetology and Barber Training Center,534 Wolcott Rd Ste C,Wolcott,CT,06716
52,Acupuncture and Integrative Medicine College-Berkeley,2550 Shattuck Avenue,Berkeley,CA,94704
53,Adams State University,208 Edgemont Blvd,Alamosa,CO,81101
54,Adelphi University,South Ave,Garden City,NY,11530-0701
55,Adirondack Beauty School,108 Dix Ave,Glens Falls,NY,12801-0000
56,Adirondack Community College,640 Bay Rd,Queensbury,NY,12804
57,Adler Graduate School,1550 East 78th Street,Richfield,MN,55423
58,Adler University,17 North Dearborn Street,Chicago,IL,60602
59,Adrian College,110 S Madison St,Adrian,MI,49221-2575
60,Adrian's College of Beauty Modesto,124 Floyd Ave,Modesto,CA,95350-2381
61,Adrian's College of Beauty Turlock,1340 W Main St,Turlock,CA,95380
62,Adult and Community Education-Hudson,2323 Lexington Avenue,Columbus,OH,43211
63,Adult and Continuing Education-BCTS,190 Hackensack Avenue,Hackensack,NJ,07601-6637
64,Advance Beauty College,10121 Westminster Ave,Garden Grove,CA,92843
65,Advance Beauty Techs Academy,641 N State St Ste 1,San Jacinto,CA,92583-6572
66,Advance Science Institute,3750 W 12 Ave,Hialeah,FL,33012
67,Advance Tech College,Baldorioty Street #1,Bayamon,PR,00961
68,Advanced Barber College and Hair Design,2818 S International,Weslaco,TX,78596
69,Advanced Beauty College,3959 N. Beltline Rd.,Irving,TX,75038
70,Advanced Career Institute,1243 N. Clancy Street,Visalia,CA,93291
71,Advanced College,13180 Paramount Blvd.,South Gate,CA,90280
72,Advanced College of Cosmetology,25 West Main Street,Waupun,WI,53963-0000
73,Advanced Computing Institute,3470 Wilshire Boulevard 11th Floor,Los Angeles,CA,90010-3911
74,Advanced Institute of Hair Design-Glendale,5780 N. Port Washington Rd.,Glendale,WI,53217
75,Advanced Institute of Hair Design-Madison,353 E. Campus Mall,Madison,WI,53715-1030
76,Advanced Technical Centers,5600 NW 36 Street,Miami,FL,33166
77,Advanced Technology Institute,5700 Southern Blvd Ste 100,Virginia Beach,VA,23462
78,Advanced Training Associates,"1810 Gillespie Way, Suite 104",El Cajon,CA,92020
79,Advanced Training Institute,5150 S. Decatur Blvd.,Las Vegas,NV,89118-1519
80,Advanced Welding Institute,2 Green Tree Dr Suite 3,South Burlington,VT,05403
81,Adventist University of Health Sciences,671 Winyah Drive,Orlando,FL,32803
82,Advertising Art Educational Services DBA School of Advertising Art,1725 E David Rd,Kettering,OH,45440
83,Aerosim Flight Academy,2700 Flightline Ave,Sanford,FL,32773
84,Aesthetic Science Institute,922 Troy-Schenectady Road,Latham,NY,12110-1095
85,Aesthetics Institute of Cosmetology,"701 Russell Ave, Space H103/H110",Gaithersburg,MD,20877
86,Agnes Scott College,141 E. College Ave.,Decatur,GA,30030-3770
87,AI Miami International University of Art and Design,"1501 Biscayne Boulevard, Suite 100",Miami,FL,33132-1418
88,AIB College of Business,2500 Fleur Drive,Des Moines,IA,50321-1799
89,Aiken Technical College,2276 Jefferson Davis Highway,Graniteville,SC,29829
90,Ailano School of Cosmetology,541 West St,Brockton,MA,02301-5734
91,Air Force Institute of Technology-Graduate School of Engineering & Management,2950 Hobson Way,Wright-Patterson AFB,OH,45433-7765
92,Akron Institute of Herzing University,"1600 South Arlington Street, Suite 100",Akron,OH,44306-3931
93,Akron School of Practical Nursing,1532 Peckham Street,Akron,OH,44320-1736
94,Alabama A & M University,4900 Meridian Street,Normal,AL,35762
95,Alabama College of Osteopathic Medicine,445 Health Sciences Boulevard,Dothan,AL,36303-2251
96,Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,36460
97,Alabama State College of Barber Styling,753 Main Street,Gardendale,AL,35071
98,Alabama State University,915 S Jackson Street,Montgomery,AL,36104-0271
99,Alamance Community College,1247 Jimmie Kerr Road,Graham,NC,27253-8000
0,Alamo City Barber College,8910 Bandera Road Suite 209,San Antonio,TX,78250-3227
1,Alamo Community College District Central Office,201 W. Sheridan,San Antonio,TX,78204-1429
2,Alaska Bible College,248 E Elmwood Ave,Palmer,AK,99645
3,Alaska Career College,1415 E Tudor Road,Anchorage,AK,99507-1033
4,Alaska Christian College,35109 Royal Place,Soldotna,AK,99669
5,Alaska Pacific University,4101 University Dr,Anchorage,AK,99508
6,Albany BOCES-Adult Practical Nursing Program,900 Watervliet Shaker Rd,Albany,NY,12205
7,Albany College of Pharmacy and Health Sciences,106 New Scotland Avenue,Albany,NY,12208-3492
8,Albany Law School,80 New Scotland Avenue,Albany,NY,12208
9,Albany Medical College,47 New Scotland Ave,Albany,NY,12208-3479
10,Albany State University,504 College Drive,Albany,GA,31705
11,Albany Technical College,1704 South Slappey Boulevard,Albany,GA,31701
12,Albert I Prince Technical High School,401 Flatbush Avenue,Hartford,CT,06106
13,Albertus Magnus College,700 Prospect St,New Haven,CT,06511-1189
14,Albion College,611 E Porter St,Albion,MI,49224
15,Albright College,1621 N. 13th St.,Reading,PA,19612-5234
16,Alcorn State University,1000 ASU Dr Ste 359,Alcorn State,MS,39096-7500
17,Alderson Broaddus University,101 College Hill Drive,Philippi,WV,26416-2035
18,Alegent Creighton Health School of Radiologic Technology,7500 Mercy Road,Omaha,NE,68124
19,Alexander Academy,112 River Street,Fitchburg,MA,01420-0000
20,Alexander Paul Institute of Hair Design,1011 Charles Blvd Ste A,Greenville,NC,27858-3344
21,Alexandria School of Scientific Therapeutics,809 S Harrison St,Alexandria,IN,46001-0287
22,Alexandria Technical & Community College,1601 Jefferson Streeet,Alexandria,MN,56308
23,Alfred University,One Saxon Drive,Alfred,NY,14802-1205
24,Alhambra Beauty College,200 W Main St,Alhambra,CA,91801
25,Alice Lloyd College,100 Purpose Rd,Pippa Passes,KY,41844
26,All Beauty College,2425 Hualapai Mtn Rd Ste B,Kingman,AZ,86401-2561
27,All Beauty College,1385 East Gemini St,Fort Mohave,AZ,86426
28,All-State Career School-Allied Health Campus,50 W Powhattan Ave,Essington,PA,19029
29,All-State Career School-Lester,501 Seminole St,Lester,PA,19029
30,All-State Career School-Pittsburgh,1200 Lebanon Road,West Mifflin,PA,15122
31,All-State Career-Baltimore,2200 Broening Hwy Ste 160,Baltimore,MD,21224
32,Allan Hancock College,800 South College Drive,Santa Maria,CA,93454-6399
33,Allegany College of Maryland,12401 Willowbrook Rd SE,Cumberland,MD,21502-2596
34,Allegheny College,520 N Main St,Meadville,PA,16335-3902
35,Allegheny Wesleyan College,2161 Woodsdale Rd,Salem,OH,44460-9598
36,Allen College,1990 Heath St,Waterloo,IA,50703-1999
37,Allen County Community College,1801 N Cottonwood,Iola,KS,66749
38,Allen School-Brooklyn,188 Montague Street,Brooklyn,NY,11201
39,Allen School-Jamaica,163-18 Jamaica Avenue,Jamaica,NY,11432
40,Allen School-Phoenix,"15650 North Black Canyon Highway, B210",Phoenix,AZ,85053-4064
41,Allen University,1530 Harden Street,Columbia,SC,29204
42,Alliance Computing Solutions,"3660 Main Street, 4th Floor",Flushing,NY,11354-6507
43,Alliant International University-San Diego,10455 Pomerado Road,San Diego,CA,92131
44,Allied American University,22952 Alcalde Drive,Laguna Hills,CA,92653-1337
45,Allied Health Institute,51 N State Road 7,Plantation,FL,33317
46,Allstate Hairstyling & Barber College,2546 Lorain Avenue,Cleveland,OH,44113-3413
47,Alma College,614 W Superior,Alma,MI,48801-1599
48,Alpena Community College,665 Johnson St,Alpena,MI,49707
49,Altoona Beauty School Inc,1528 Valley View Blvd.,Altoona,PA,16602-6039
50,Alvareitas College of Cosmetology-Belleville,5400 West Main,Belleville,IL,62226
51,Alvareitas College of Cosmetology-Edwardsville,333 South Kansas St,Edwardsville,IL,62025
52,Alvareitas College of Cosmetology-Godfrey,3048 Godfrey Rd,Godfrey,IL,62035-4150
53,Alvernia University,400 Saint Bernardine St,Reading,PA,19607-1799
54,Alverno College,3400 S 43rd St,Milwaukee,WI,53234-3922
55,Alvin Community College,3110 Mustang Rd,Alvin,TX,77511-4898
56,AM College LLC,10506 N Kendall Drive,Miami,FL,33176
57,Amarillo College,2011 S. Washington,Amarillo,TX,79109
58,Amberton University,1700 Eastgate Dr,Garland,TX,75041-5595
59,Ambiance Beauty & Barber Academy Inc,682 Wickham Road,Melbourne,FL,32935-8771
60,Ambria College of Nursing,5210 Trillium Blvd,Hoffman Estates,IL,60192
61,American Academy McAllister Institute of Funeral Service,619 West 54th Street - 2nd Floor,New York,NY,10019
62,American Academy of Acupuncture and Oriental Medicine,1925 W County Rd B-2,Roseville,MN,55113
63,American Academy of Art,332 S Michigan Ave,Chicago,IL,60604-4302
64,American Academy of Cosmetology,1330 Blanding Blvd Ste 125,Orange Park,FL,32065
65,American Academy of Dramatic Arts-Los Angeles,1336 North La Brea Avenue,Los Angeles,CA,90028
66,American Academy of Dramatic Arts-New York,120 Madison Ave,New York,NY,10016
67,American Academy of Personal Training,138 West 14th Street,New York,NY,10011-7301
68,American Advanced Technicians Institute,6801 W 20th St,Hialeah,FL,33014
69,American Baptist College,1800 Baptist World Ctr Dr,Nashville,TN,37207-9980
70,American Baptist Seminary of the West,2606 Dwight Way,Berkeley,CA,94704-3029
71,American Beauty Academy,11006 Veirs Mill Road,Wheaton,MD,20902-1911
72,American Beauty Academy,87 W 600 S,Payson,UT,84651
73,American Beauty College,652 S. Sunset Ave,West Covina,CA,91790
74,American Beauty School,1380 Metropolitan Avenue,Bronx,NY,10462
75,American Broadcasting School-Arlington,712 N Watson Road,Arlington,TX,76011
76,American Broadcasting School-Oklahoma City,4511 SE 29th St,Oklahoma City,OK,73115
77,American Broadcasting School-Online Program,4511 SE 29th St,Oklahoma City,OK,73115
78,American Business and Technology University,1018 W St Maartens Dr,St Joseph,MO,64506
79,American Career College at St Francis,"3680 E. Imperial Highway, 5th Floor",Lynwood,CA,90262
80,American Career College-Anaheim,1200 N. Magnolia Ave.,Anaheim,CA,92801-0000
81,American Career College-Long Beach,236 East 3rd Street,Long Beach,CA,90802-3174
82,American Career College-Los Angeles,4021 Rosewood Avenue,Los Angeles,CA,90004
83,American Career College-Ontario,3130 East Sedona Court,Ontario,CA,91764
84,American College for Medical Careers,5959 Lake Ellenor Lake,Orlando,FL,32809
85,American College of Acupuncture and Oriental Med,9100 Park West Drive,Houston,TX,77063-4104
86,American College of Education,"101 West Ohio Street, Suite 1200",Indianapolis,IN,46204
87,American College of Financial Services,270 S. Bryn Mawr Ave,Bryn Mawr,PA,19010-2196
88,American College of Hair Design Inc,125 Winchester Drive,Sedalia,MO,65301
89,American College of Hairstyling-Cedar Rapids,1531 First Ave SE,Cedar Rapids,IA,52402
90,American College of Hairstyling-Des Moines,603 E Sixth St,Des Moines,IA,50309
91,American College of Healthcare,6606 Pacific Blvd Ste 204,Huntington Park,CA,90255
92,American College of Healthcare,"11801 Pierce St., Suite 100",Riverside,CA,92505
93,American College of Healthcare Sciences,5005 S. Macadam Ave,Portland,OR,97239
94,American College of Traditional Chinese Medicine,455 Arkansas St,San Francisco,CA,94107
95,American Conservatory Theater,30 Grant Ave,San Francisco,CA,94108-5834
96,American Educational College,45 Santa Cruz Street,Bayamon,PR,00961
97,American Film Institute Conservatory,2021 N Western Ave,Los Angeles,CA,90027-1625
98,American Hair Academy,910 Ave G,Fort Madison,IA,52627
99,American Health Institute,10138 US Highway 19,Port Richey,FL,34654-3743
0,American Indian College Inc,10020 N 15th Ave,Phoenix,AZ,85021
1,American Indian OIC Inc,1845 E. Franklin Ave,Minneapolis,MN,55404-2221
2,American Institute of Alternative Medicine,6685 Doubletree Ave,Columbus,OH,43229
3,American Institute of Beauty,3665 East Bay Drive Suite 164,Largo,FL,33771
4,American Institute of Interior Design,"13014 N. Saguaro Blvd., Suite 206",Fountain Hills,AZ,85268
5,American Institute of Massage Therapy,"1506 E Warner Ave., Ste. 110",Santa Ana,CA,92705-5479
6,American Institute of Medical Sciences & Education,4500 New Brunswick Ave,Piscataway,NJ,08854
7,American Institute of Medical Sonography,"5450 W Sahara Ave, #320",Las Vegas,NV,89146-0383
8,American Institute of Medical Technology,4500 S. Garnett Rd. Suite 110,Tulsa,OK,74146
9,American Institute of Technology,440 S 54th Avenue,Phoenix,AZ,85043-4729
10,American Institute-Toms River,2363 Lakewood Rd,Toms River,NJ,08755
11,American InterContinental University-Atlanta,"6600 Peachtree Dunwoody Road, 500 Embassy Row",Atlanta,GA,30328
12,American InterContinental University-Houston,9999 Richmond Avenue,Houston,TX,77042
13,American InterContinental University-Online,"231 N. Martingale Rd., 6th Floor",Schaumburg,IL,60173
14,American InterContinental University-South Florida,2250 North Commerce Pkwy,Weston,FL,33326
15,American International College,1000 State Street,Springfield,MA,01109
16,American Jewish University,15600 Mulholland Dr,Los Angeles,CA,90077-1519
17,American Medical Academy,12215 SW 112 Street,Miami,FL,33186-4830
18,American Medical Sciences Center,"225 West Broadway, Suite 410",Glendale,CA,91204-5108
19,American Musical and Dramatic Academy,211 West 61st Street,New York,NY,10023
20,American Natioanl College,5522 New Peachtree Road Suite 114,Chamblee,GA,30341-1562
21,American National College,5020 Fm 1960 W A-12,Houston,TX,77069-4611
22,American National College,1611 Spencer Hwy Suite E,South Houston,TX,77587-3714
23,American National University,1813 East Main Street,Salem,VA,24153
24,American Public University System,111 W Congress St,Charles Town,WV,25414
25,American River College,4700 College Oak Dr,Sacramento,CA,95841-4286
26,American Samoa Community College,P.O. Box 2609,Pago Pago,AS,96799-2609
27,American School of Business,702 Professional Dr N,Shreveport,LA,71105-5646
28,American School of Technology,4599 Morse Center,Columbus,OH,43229
29,American Sentinel University,2260 South Xanadu Way,Aurora,CO,80014-6510
30,American Technical Institute,"Ave Castiglioni U-27, Bayamon Gardens",Bayamon,PR,00957-0000
31,American Trade School,3925 Industrial Drive,Saint Ann,MO,63074-1807
32,American University,4400 Massachusetts Ave NW,Washington,DC,20016-8001
33,American University of Health Sciences,1600 East Hill St,Signal Hill,CA,90755-3612
34,American University of Puerto Rico,"Carr. #2, Km.14.4, Bo. Hato Tejas",Bayamon,PR,00960-2037
35,American University of Puerto Rico,Carretera Estatal #2 Km.48.1,Manati,PR,00674-1082
36,AmeriTech College-Draper,12257 South Business Park Drive-Ste 100,Draper,UT,84020-6545
37,AmeriTech College-Provo,2035 North 550 West,Provo,UT,84604
38,Amherst College,Boltwood Avenue,Amherst,MA,01002-5000
39,Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553
40,Anabaptist Mennonite Biblical Seminary,3003 Benham Ave,Elkhart,IN,46517-1999
41,Ancilla College,9601 S. Union Road,Donaldson,IN,46513-0001
42,Anderson University,1100 E 5th St,Anderson,IN,46012-3495
43,Anderson University,316 Boulevard,Anderson,SC,29621-4035
44,Andover Newton Theological School,210 Herrick Rd,Newton Centre,MA,02459-2243
45,Andrew College,501College St,Cuthbert,GA,39840-5550
46,Andrews University,"4150 Administration Drive, Room 136",Berrien Springs,MI,49104
47,Angeles College,3440 Wilshire Blvd Ste 310,Los Angeles,CA,90010
48,Angeles Institute,"11688 SOUTH STREET, SUITE 205",ARTESIA,CA,90701-6610
49,Angelina College,3500 South First,Lufkin,TX,75902-1768
50,Angelo State University,2601 W. Avenue N,San Angelo,TX,76909
51,Ann Arbor Institute of Massage Therapy,180 Jackson Plaza,Ann Arbor,MI,48103
52,Ann Marie's World of Beauty School,389 State St,Binghamton,NY,13901
53,Anna Maria College,50 Sunset Lane,Paxton,MA,01612-1198
54,Anne Arundel Community College,101 College Pky,Arnold,MD,21012-1895
55,Annenberg School of Nursing,19300 Sherman Way,Reseda,CA,91335-5426
56,Anoka Technical College,1355 Highway 10 West,Anoka,MN,55303
57,Anoka-Ramsey Community College,11200 Mississippi Blvd NW,Coon Rapids,MN,55433-3470
58,Antelope Valley College,3041 West Ave K,Lancaster,CA,93536-5426
59,Antilles School of Technical Careers,Calle Cayey # 1911,San Juan,PR,00909
60,Antioch College,1 Morgan Pl,Yellow Springs,OH,45387
61,Antioch University-Los Angeles,400 Corporate Pointe,Culver City,CA,90230-7615
62,Antioch University-Midwest,900 Dayton St,Yellow Springs,OH,45387
63,Antioch University-New England,40 Avon St,Keene,NH,03431
64,Antioch University-PhD Program in Leadership and Change,900 Dayton Street,Yellow Springs,OH,45387
65,Antioch University-Santa Barbara,602 Anacapa Street,Santa Barbara,CA,93101
66,Antioch University-Seattle,2326 6th Ave,Seattle,WA,98121-1814
67,Antioch University-System Administration,900 Dayton Street,Yellow Springs,OH,45387
68,Anton Aesthetics Academy,1233 S. Military Trail,West Palm Beach,FL,33416-4629
69,Antonelli College-Cincinnati,124 E Seventh St,Cincinnati,OH,45202
70,Antonelli College-Hattiesburg,1500 N 31st Ave,Hattiesburg,MS,39401
71,Antonelli College-Jackson,2323 Lakeland Drive,Jackson,MS,39232
72,Antonelli Institute,300 Montgomery Ave,Erdenheim,PA,19038-8242
73,Antonelli Medical and Professional Institute,1700 Industrial Highway,Pottstown,PA,19464
74,AOMA Graduate School of Integrative Medicine,4701 Westgate Blvd,Austin,TX,78745
75,Aparicio-Levy Technical Center,10119 East Ellicott Street,Tampa,FL,33610
76,Apex Academy of Hair Design Inc,333 Jackson St,Anderson,IN,46016-1158
77,Apex School of Theology,1701 T.W. Alexander Drive,Durham,NC,27703
78,Apex Technical School,24-02 Queens Plaza South,Long Island City,NY,11101
79,Apollo Career Center,3325 Shawnee Rd,Lima,OH,45806-1497
80,Appalachian Beauty School,609A Central Avenue,South Williamson,KY,41503
81,Appalachian College of Pharmacy,1060 Dragon Road,Oakwood,VA,24631
82,Appalachian School of Law,1169 Edgewater Drive,Grundy,VA,24614-2825
83,Appalachian State University,287 Rivers St,Boone,NC,28608
84,Applied Technology Services,12721 West Watson Road,Sunset Hills,MO,63127
85,Aquinas College,4210 Harding Pike,Nashville,TN,37205
86,Aquinas College,1607 Robinson Road SE,Grand Rapids,MI,49506-1799
87,Aquinas Institute of Theology,23 South Spring Avenue,Saint Louis,MO,63108-3323
88,Arapahoe Community College,5900 S. Santa Fe Dr.,Littleton,CO,80160-9002
89,Arcadia University,450 S Easton Rd,Glenside,PA,19038-3295
90,Argosy University-Atlanta,"980 Hammond Drive, Building 2, Suite 100",Atlanta,GA,30328
91,Argosy University-Chicago,"225 N. Michigan Ave, Ste 1300",Chicago,IL,60601
92,Argosy University-Dallas,"5001 Lyndon B. Johnson Freeway, Heritage Square, Suite 230",Farmers Branch,TX,75244
93,Argosy University-Denver,7600 East Eastman Avenue,Denver,CO,80231
94,Argosy University-Hawaii,"1001 Bishop Street, Suite 400",Honolulu,HI,96813
95,Argosy University-Inland Empire,"3401 Centre Lake Drive, Suite 200",Ontario,CA,91761
96,Argosy University-Los Angeles,"5230 Pacific Concourse, Suite 200",Los Angeles,CA,90045
97,Argosy University-Nashville,"100 Centerview Dr, Suite 225",Nashville,TN,37214
98,Argosy University-Orange County,601 South Lewis Street,Orange,CA,92868
99,Argosy University-Phoenix,2233 West Dunlap Avenue,Phoenix,AZ,85021
0,Argosy University-Phoenix Online Division,2233 West Dunlap Avenue,Phoenix,AZ,85021
1,Argosy University-Salt Lake City,121 Election Rd Ste 300,Draper,UT,84020
2,Argosy University-San Diego,"1615 Murray Canyon Road, Suite 100",San Diego,CA,92108
3,Argosy University-San Francisco Bay Area,1005 Atlantic Avenue,Alameda,CA,94501
4,Argosy University-Sarasota,5250 17th Street,Sarasota,FL,34235
5,Argosy University-Schaumburg,"999 North Plaza Dr., Suite 111",Schaumburg,IL,60173-5403
6,Argosy University-Seattle,2601-A Elliott Avenue,Seattle,WA,98121
7,Argosy University-Tampa,1403 N. Howard Avenue,Tampa,FL,33607
8,Argosy University-Twin Cities,1515 Central Parkway,Eagan,MN,55121
9,Argosy University-Washington DC,"1550 Wilson Boulevard, Suite 600",Arlington,VA,22209
10,Aria Health School of Nursing,Three Neshaminy Interplex,Trevose,PA,19053-6939
11,Arizona Academy of Beauty-East,5631 E Speedway Blvd,Tucson,AZ,85712
12,Arizona Academy of Beauty-North,4066 N Oracle,Tucson,AZ,85705
13,Arizona Automotive Institute,6829 N 46th Ave,Glendale,AZ,85301-3579
14,Arizona Board of Regents,"2020 N Central Ave, Suite 230",Phoenix,AZ,85004
15,Arizona Christian University,2625 E Cactus Rd,Phoenix,AZ,85032-7097
16,Arizona College-Mesa,163 N Dobson Rd,Mesa,AZ,85201
17,Arizona Culinary Institute,10585 N 114th St Ste 401,Scottsdale,AZ,85259
18,Arizona School of Acupuncture and Oriental Medicine,4646 E Fort Lowell Rd Ste 103,Tucson,AZ,85712
19,Arizona School of Integrative Studies,701 South Broadway,Clarkdale,AZ,86324-3106
20,Arizona State University-Downtown Phoenix,411 N Central Ave,Phoenix,AZ,85004
21,Arizona State University-Polytechnic,7001 E Williams Field Road,Mesa,AZ,85212
22,Arizona State University-Skysong,1475 N Scottsdale Road-Ste 200,Scottsdale,AZ,85257
23,Arizona State University-Tempe,University Drive and Mill Avenue,Tempe,AZ,85287
24,Arizona State University-West,4701 W Thunderbird Road,Glendale,AZ,85306
25,Arizona Summit Law School,One North Central Avenue,Phoenix,AZ,85004
26,Arizona Western College,2020 S. Avenue 8E,Yuma,AZ,85365-8834
27,Arkansas Baptist College,1600 Dr. Martin Luther King Jr. Drive,Little Rock,AR,72202-6068
28,Arkansas Beauty College,109 N Commerce St,Russellville,AR,72801
29,Arkansas Beauty School,1061 Markham St,Conway,AR,72032
30,Arkansas Beauty School-Little Rock,8521 Geyer Springs Road Unit 30,Little Rock,AR,72209
31,Arkansas College of Barbering and Hair Design,200 E Washington Ave,North Little Rock,AR,72114
32,Arkansas Northeastern College,2501 S Division,Blytheville,AR,72316-1109
33,Arkansas State University-Beebe,1000 Iowa Street,Beebe,AR,72012-1000
34,Arkansas State University-Main Campus,2105 E. Aggie Road,Jonesboro,AR,72401
35,Arkansas State University-Mountain Home,1600 South College Street,Mountain Home,AR,72653
36,Arkansas State University-Newport,7648 Victory Blvd,Newport,AR,72112
37,Arkansas State University-System Office,"2400 East Highland Drive, 3rd Floor, Suite 300",Jonesboro,AR,72401
38,Arkansas Tech University,"Administration Bldg 200, 1509 N Boulder Ave",Russellville,AR,72801-2222
39,Arlington Baptist College,3001 W Division,Arlington,TX,76012-3425
40,Arlington Medical Institute,"1001 N.E. Green Oaks Blvd., Suite 190",Arlington,TX,76006-2317
41,Armstrong State University,11935 Abercorn St,Savannah,GA,31419-1997
42,Arnolds Beauty School,1179 S Second St,Milan,TN,38358
43,Arnot Ogden Medical Center,600 Roe Avenue,Elmira,NY,14905-1676
44,Arrojo Cosmetology School,56 King St.,New York,NY,10014
45,Art Academy of Cincinnati,1212 Jackson Street,Cincinnati,OH,45202-1706
46,Art Center College of Design,1700 Lida St,Pasadena,CA,91103
47,Arthur's Beauty College Inc-Fort Smith,2000 North B St,Fort Smith,AR,72901-3342
48,Arthur's Beauty College Inc-Jacksonville,2600 John Harden Dr,Jacksonville,AR,72076
49,Arthur's Beauty School Inc-Conway,2320 Washington Ave,Conway,AR,72032
50,Artistic Academy of Hair Design,"301 Gibraltar Drive, Suite 1-A",Morris Plains,NJ,07950
51,Artistic Nails and Beauty Academy-Lakeland,985 E Memorial Blvd,Lakeland,FL,33801
52,Artistic Nails and Beauty Academy-Tampa,4951-A Adamo Drive Ste 120,Tampa,FL,33605
53,ASA College,151 Lawrence Street,Brooklyn,NY,11201-9805
54,Asbury Theological Seminary,204 N Lexington Ave,Wilmore,KY,40390-1199
55,Asbury University,1 Macklem Dr,Wilmore,KY,40390-1198
56,Ashdown College of Health Sciences,"101 E. Redlands Blvd., Suite 285",Redlands,CA,92373
57,Asher College,1215 Howe Ave Suite 101,Sacramento,CA,95825
